time,temp,hum,wind,power,cw_temp,chw_temp,pax,status,fan_freq,pump_freq,day_of_week
0,25,45,1.72,6702.28,30.36,6.98,31.0,0,0.0,0.0,1
5,25,45,1.95,6596.18,30.5,7.11,33.0,0,0.0,0.0,1
10,25,45,1.88,6831.36,30.19,7.04,35.0,0,0.0,0.0,1
15,25,45,2.23,6724.71,30.27,7.03,37.0,0,0.0,0.0,1
20,25,45,1.91,7147.24,30.17,7.0,39.0,0,0.0,0.0,1
25,25,45,2.17,7108.55,30.36,7.05,41.0,0,0.0,0.0,1
30,25,45,1.88,7147.43,30.26,7.01,44.0,0,0.0,0.0,1
35,25,45,2.09,7185.26,30.36,7.04,46.0,0,0.0,0.0,1
40,25,45,2.11,7701.94,30.45,6.98,49.0,0,0.0,0.0,1
45,25,45,2.15,7494.11,30.32,7.01,52.0,0,0.0,0.0,1
50,25,45,1.88,7902.21,30.28,7.03,55.0,0,0.0,0.0,1
55,25,45,1.81,7963.14,30.29,7.11,58.0,0,0.0,0.0,1
60,25,45,1.72,8201.92,30.35,7.12,61.0,0,0.0,0.0,1
65,25,45,2.16,8038.6,30.41,7.07,64.0,0,0.0,0.0,1
70,25,45,2.24,7902.41,30.39,7.01,68.0,0,0.0,0.0,1
75,25,45,2.16,8390.83,30.42,7.04,71.0,0,0.0,0.0,1
80,25,45,1.87,8499.89,30.41,7.06,75.0,0,0.0,0.0,1
85,25,45,1.82,8941.6,30.56,7.0,79.0,0,0.0,0.0,1
90,25,45,1.9,8906.76,30.68,7.03,83.0,0,0.0,0.0,1
95,25,45,1.77,9235.13,30.48,7.04,87.0,0,0.0,0.0,1
100,25,45,2.06,9666.29,30.66,7.05,92.0,0,0.0,0.0,1
105,25,45,1.84,9767.24,30.46,6.94,97.0,0,0.0,0.0,1
110,25,45,2.18,9873.65,30.43,6.96,101.0,1,31.32,35.97,1
115,25,45,2.2,10433.4,30.51,7.06,106.0,1,30.58,36.68,1
120,25,45,2.29,10302.75,30.39,6.99,112.0,1,31.4,37.01,1
125,25,45,2.28,10958.93,30.51,7.03,117.0,1,30.43,36.4,1
130,25,45,1.99,11089.47,30.53,7.08,123.0,1,30.94,36.51,1
135,25,45,2.17,11326.75,30.68,7.05,129.0,1,31.2,36.85,1
140,25,45,1.93,12286.95,30.55,6.95,135.0,1,31.7,37.05,1
145,25,45,2.21,12165.95,30.47,6.91,142.0,1,31.52,36.67,1
150,25,45,2.58,12482.41,30.82,7.01,148.0,1,31.15,36.83,1
155,25,45,1.88,12536.02,30.69,7.06,155.0,1,31.54,36.85,1
160,25,45,2.2,13415.13,30.86,7.07,162.0,1,31.76,37.18,1
165,25,45,1.74,13853.58,30.62,7.02,170.0,1,31.62,37.12,1
170,25,45,1.61,13317.71,30.79,7.04,177.0,1,32.38,36.69,1
175,25,45,2.08,14485.66,30.77,7.12,185.0,1,31.02,37.47,1
180,25,45,1.91,14716.65,30.87,7.09,194.0,1,31.79,37.67,1
185,25,45,1.69,15073.12,30.65,7.09,202.0,1,31.11,36.83,1
190,25,45,2.01,15596.83,30.76,6.99,211.0,1,32.16,36.7,1
195,25,45,1.91,15940.82,30.72,7.08,220.0,1,31.83,36.97,1
200,25,45,2.1,16713.6,30.8,7.01,229.0,1,31.63,37.24,1
205,25,45,2.09,17260.53,30.96,7.05,239.0,1,31.73,37.07,1
210,25,45,1.63,17623.14,30.9,7.05,249.0,1,32.83,37.73,1
215,25,45,2.15,17933.28,30.8,7.12,260.0,1,31.45,37.02,1
220,25,45,2.11,18490.1,30.89,7.07,270.0,1,32.36,37.53,1
225,25,45,2.18,18980.58,31.01,7.18,281.0,1,32.57,37.8,1
230,25,45,2.3,19727.02,30.98,7.1,292.0,1,33.72,37.64,1
235,25,45,1.87,20177.2,31.07,7.12,304.0,1,33.61,38.55,1
240,25,45,1.88,20846.24,31.08,7.1,316.0,1,33.16,37.86,1
245,25,45,1.9,21361.19,31.24,7.06,328.0,1,33.94,38.12,1
250,25,45,1.76,21956.8,31.09,7.01,341.0,1,33.33,37.79,1
255,25,45,2.18,22829.74,31.21,7.07,354.0,1,32.73,38.64,1
260,25,45,2.33,23453.54,31.19,7.1,368.0,1,33.74,38.28,1
265,25,46,1.91,24025.97,31.21,7.13,381.0,1,34.75,38.42,1
270,25,46,2.06,24503.88,31.29,7.14,395.0,1,33.1,38.61,1
275,25,46,2.1,25540.18,31.23,7.11,410.0,1,33.57,38.96,1
280,25,46,2.16,25944.87,31.42,7.17,425.0,1,33.97,38.09,1
285,25,46,1.9,26851.26,31.27,7.13,440.0,1,33.32,38.89,1
290,25,46,2.27,27406.43,31.5,7.1,455.0,1,34.13,38.82,1
295,25,46,2.36,28614.99,31.31,7.11,471.0,1,34.58,39.43,1
300,25,46,2.43,29614.99,31.4,7.06,487.0,1,34.36,39.26,1
305,25,46,2.29,30283.25,31.56,7.19,504.0,1,35.11,39.03,1
310,25,46,2.3,31003.32,31.51,7.14,521.0,1,34.82,39.28,1
315,25,46,2.03,31891.84,31.51,7.1,538.0,1,36.06,39.47,1
320,25,47,2.42,32879.59,31.8,7.16,556.0,1,35.31,39.75,1
325,25,47,2.52,34141.95,31.72,7.19,574.0,1,35.78,39.64,1
330,25,47,2.4,34365.19,31.66,7.11,592.0,1,35.62,39.35,1
335,25,47,2.49,35465.74,31.84,7.11,611.0,1,35.91,40.0,1
340,25,47,2.46,36638.77,31.79,7.18,629.0,1,35.79,40.07,1
345,25,47,2.26,37771.09,32.17,7.21,649.0,1,36.79,40.26,1
350,25,48,2.43,38409.24,31.74,7.15,668.0,1,37.3,40.81,1
355,25,48,2.34,39402.21,31.95,7.18,688.0,1,37.47,40.49,1
360,25,48,2.34,40536.67,31.76,7.11,709.0,1,37.5,40.84,1
365,26,48,2.12,41167.41,31.9,7.11,729.0,1,37.64,40.64,1
370,26,48,2.77,42449.27,32.04,7.24,750.0,1,37.74,40.63,1
375,26,48,1.74,43668.05,32.13,7.17,771.0,1,37.64,41.27,1
380,26,49,2.68,44647.24,32.08,7.11,793.0,1,37.69,41.4,1
385,26,49,2.68,45630.71,32.33,7.18,814.0,1,38.98,41.33,1
