time,temp,hum,wind,power,cw_temp,chw_temp,pax,status,fan_freq,pump_freq
0,25,45,2.49,6205.66,30.33,7.0,31,0,0.0,0.0
5,25,45,1.98,6704.78,30.28,6.93,33,0,0.0,0.0
10,25,45,1.92,6662.61,30.4,6.95,35,0,0.0,0.0
15,25,45,2.06,6914.37,30.16,7.01,37,0,0.0,0.0
20,25,45,1.61,6735.08,30.3,7.09,39,0,0.0,0.0
25,25,45,1.91,7055.34,30.28,7.07,41,0,0.0,0.0
30,25,45,1.8,7189.6,30.31,7.03,44,0,0.0,0.0
35,25,45,2.29,7364.81,30.39,6.98,46,0,0.0,0.0
40,25,45,2.05,7372.83,30.35,7.08,49,0,0.0,0.0
45,25,45,2.2,7821.16,30.32,6.99,52,0,0.0,0.0
50,25,45,1.83,7568.15,30.45,7.14,55,0,0.0,0.0
55,25,45,2.33,8064.68,30.59,7.06,58,0,0.0,0.0
60,25,45,2.21,8248.93,30.55,7.03,61,0,0.0,0.0
65,25,45,1.69,8449.69,30.35,7.04,64,0,0.0,0.0
70,25,45,2.16,8042.14,30.38,7.01,68,0,0.0,0.0
75,25,45,1.82,8721.49,30.45,7.15,71,0,0.0,0.0
80,25,45,2.08,9002.42,30.3,7.06,75,0,0.0,0.0
85,25,45,1.98,9132.4,30.29,7.0,79,0,0.0,0.0
90,25,45,1.5,9052.77,30.51,7.1,83,0,0.0,0.0
95,25,45,1.56,9329.32,30.45,7.01,87,0,0.0,0.0
100,25,45,1.84,9846.81,30.49,6.99,92,0,0.0,0.0
105,25,45,2.32,10026.87,30.6,7.07,97,0,0.0,0.0
110,25,45,1.83,9864.55,30.5,7.05,101,1,30.99,36.18
115,25,45,2.14,10214.96,30.31,7.08,106,1,30.61,36.83
120,25,45,2.01,10487.9,30.58,6.97,112,1,30.82,36.29
125,25,45,1.74,10982.95,30.61,7.07,117,1,31.17,36.66
130,25,45,1.96,10982.17,30.64,7.08,123,1,31.38,37.02
135,25,45,2.2,11579.28,30.63,7.08,129,1,32.49,36.55
140,25,45,2.25,12179.81,30.82,7.07,135,1,31.32,36.98
145,25,45,2.07,11912.75,30.49,7.0,142,1,30.8,36.89
150,25,45,2.07,12474.53,30.52,7.02,148,1,32.13,36.62
155,25,45,1.68,12690.58,30.73,7.02,155,1,30.96,36.93
160,25,45,1.84,12842.84,30.57,7.16,162,1,31.42,36.59
165,25,45,1.8,13283.47,30.62,7.04,170,1,31.91,36.4
170,25,45,1.97,13635.35,30.78,7.02,177,1,31.69,36.98
175,25,45,2.06,14163.49,30.59,7.07,185,1,32.93,36.87
180,25,45,1.82,14627.44,30.85,6.93,194,1,31.93,36.69
185,25,45,2.3,14935.92,30.72,7.03,202,1,32.25,37.11
190,25,45,2.05,15277.38,30.84,7.02,211,1,31.8,37.3
195,25,45,2.38,15714.41,30.6,7.06,220,1,31.85,37.71
200,25,45,2.25,16443.21,30.84,7.14,229,1,33.69,37.63
205,25,45,2.27,17419.67,30.96,7.15,239,1,32.21,37.33
210,25,45,2.19,17485.64,30.87,6.92,249,1,33.2,37.32
215,25,45,2.02,18133.68,30.84,7.0,260,1,33.05,37.68
220,25,45,1.85,18117.47,30.92,7.08,270,1,32.65,38.28
225,25,45,1.84,18988.61,31.04,7.06,281,1,32.23,37.52
230,25,45,2.1,19671.88,31.11,7.03,292,1,32.14,38.05
235,25,45,2.1,20402.17,31.11,7.1,304,1,33.47,38.15
240,25,45,1.78,20718.79,31.21,7.05,316,1,34.06,38.06
245,25,45,2.25,21813.42,30.96,7.06,328,1,32.73,38.79
250,25,45,2.33,22048.82,31.18,7.01,341,1,33.63,37.79
255,25,45,2.28,23032.34,31.19,7.08,354,1,33.71,38.4
